,source_user,username,target_user
13397,118883468,_Mafaldologa,santipalomov
13398,118883468,_Mafaldologa,GuerreroGarnica
13401,1299426548638978049,BenitoC67601310,FJimenezmingob
13402,1299426548638978049,BenitoC67601310,mingobguate
13403,1299426548638978049,BenitoC67601310,PNCdeGuatemala
13404,1299426548638978049,BenitoC67601310,DTransitoPNC
13405,1299426548638978049,BenitoC67601310,_SPGuatemala
13408,1299426548638978049,BenitoC67601310,DiariodeCA
13409,102455046,maurinewyork,UbaldoMacu
13410,102455046,maurinewyork,MPguatemala
13412,1250871071374524416,elliot_gt,VicenteCarrera_
13413,1250871071374524416,elliot_gt,Sandra_JovelP
13414,1250871071374524416,elliot_gt,UCLCGt
13415,1250871071374524416,elliot_gt,mingobguate
13416,1250871071374524416,elliot_gt,FJimenezmingob
13417,1250871071374524416,elliot_gt,GuatemalaGob
13418,1250871071374524416,elliot_gt,BArevalodeLeon
13419,1679610242299047936,Danyhgonzalez,FJimenezmingob
13420,1679610242299047936,Danyhgonzalez,mingobguate
13421,1679610242299047936,Danyhgonzalez,PNCdeGuatemala
13422,1679610242299047936,Danyhgonzalez,DTransitoPNC
13423,1679610242299047936,Danyhgonzalez,_SPGuatemala
13424,1679610242299047936,Danyhgonzalez,GuatemalaGob
13425,1679610242299047936,Danyhgonzalez,BArevalodeLeon
13426,1679610242299047936,Danyhgonzalez,DiariodeCA
13428,1683329844078051329,LapiceroBicRojo,mingobguate
13430,1683329844078051329,LapiceroBicRojo,DTransitoPNC
13470,1805325774808891392,VictorB37695,VicenteCarrera_
13471,1805325774808891392,VictorB37695,MPguatemala
13472,1805325774808891392,VictorB37695,DiegoEspana_
13473,1805325774808891392,VictorB37695,lahoragt
13474,1805325774808891392,VictorB37695,UCLCGt
13475,1805325774808891392,VictorB37695,CNCguatemala
13476,1805325774808891392,VictorB37695,GuatemalaGob
13477,1805325774808891392,VictorB37695,FJimenezmingob
13478,1805325774808891392,VictorB37695,mingobguate
13479,1805325774808891392,VictorB37695,BArevalodeLeon
13480,2723117378,cbarreno24,jczamora
13481,2723117378,cbarreno24,el_Periodico
13482,2723117378,cbarreno24,OJGuatemala
13483,2723117378,cbarreno24,BArevalodeLeon
13484,2723117378,cbarreno24,PrensaComunitar
13485,2723117378,cbarreno24,lahoragt
13486,2723117378,cbarreno24,PlazaPublicaGT
13487,2723117378,cbarreno24,cmendeza
13488,2723117378,cbarreno24,mmendoza_GT
13489,2723117378,cbarreno24,MarielosMonzon
13490,2723117378,cbarreno24,JLFont001
13491,2723117378,cbarreno24,NoNosCallaranGT
13492,1369038633487990789,EliMarios_,ergt2020
13494,827698271401304067,haroldo_esteban,VicenteCarrera_
13495,827698271401304067,haroldo_esteban,Sandra_JovelP
13496,827698271401304067,haroldo_esteban,UCLCGt
13502,757391118036197377,byron_argueta5,mingobguate
13503,757391118036197377,byron_argueta5,PNCdeGuatemala
13504,757391118036197377,byron_argueta5,DTransitoPNC
13505,757391118036197377,byron_argueta5,_SPGuatemala
13506,757391118036197377,byron_argueta5,GuatemalaGob
13508,757391118036197377,byron_argueta5,DiariodeCA
13509,292704661,SantaExmin,EliMarios_
13511,292704661,SantaExmin,ergt2020
13514,3262788397,champurradaacf,FJimenezmingob
13515,3262788397,champurradaacf,mingobguate
13516,3262788397,champurradaacf,PNCdeGuatemala
13517,3262788397,champurradaacf,DTransitoPNC
13518,3262788397,champurradaacf,_SPGuatemala
13519,3262788397,champurradaacf,GuatemalaGob
13521,3262788397,champurradaacf,DiariodeCA
13522,280377618,SolJacky,GuatemalaGob
13523,280377618,SolJacky,BArevalodeLeon
13526,371566631,ECarolina118,GuatemalaGob
13528,1686428929035292690,MBSG1975,GuatemalaGob
13529,1686428929035292690,MBSG1975,BArevalodeLeon
13530,1753230243295289344,LeoMarkSal,Soygeorgegt
13532,1753230243295289344,LeoMarkSal,GersonGudielCas
13534,1753230243295289344,LeoMarkSal,BancadaSemilla
13537,259493929,87kikin,FJimenezmingob
13538,259493929,87kikin,mingobguate
13539,259493929,87kikin,PNCdeGuatemala
13540,259493929,87kikin,DTransitoPNC
13541,259493929,87kikin,_SPGuatemala
13542,259493929,87kikin,GuatemalaGob
13543,259493929,87kikin,BArevalodeLeon
13544,259493929,87kikin,DiariodeCA
13545,1753230243295289344,LeoMarkSal,Factor4_GT
13548,1753230243295289344,LeoMarkSal,samuel_pz
13549,1753230243295289344,LeoMarkSal,raulbarreragt
13558,1765777397524156418,elanalistagt2,Sandra_JovelP
13559,1449057511252897795,gamaliel_matheu,FJimenezmingob
13560,1449057511252897795,gamaliel_matheu,mingobguate
13561,1449057511252897795,gamaliel_matheu,PNCdeGuatemala
13562,1449057511252897795,gamaliel_matheu,DTransitoPNC
13563,1449057511252897795,gamaliel_matheu,_SPGuatemala
13564,1449057511252897795,gamaliel_matheu,GuatemalaGob
